Date,Total_cases,Active,Recovered,Deaths,Growth_Rate_Cases,Growth_Rate_Deaths
23-Mar,16,16,0,0,0,0
24-Mar,19,19,0,0,0,0
25-Mar,20,18,2,0,0,0
26-Mar,19,14,5,0,4.75,0
27-Mar,20,13,7,0,4.86,0
28-Mar,24,17,7,0,7.38,0
29-Mar,26,19,7,0,7.52,0
30-Mar,31,23,7,1,10.26,0
31-Mar,34,26,7,1,8.97,0
01-Apr,40,32,8,1,10.74,0
02-Apr,46,37,8,1,13.59,0
03-Apr,52,42,9,2,14.7,7.14
04-Apr,58,46,10,2,13.5,11.9
05-Apr,84,64,15,5,18.71,33.33
06-Apr,110,87,16,7,20.3,37.62
07-Apr,135,110,17,8,22.24,40.92
08-Apr,175,141,18,16,23.95,55.2
09-Apr,182,143,18,21,22.38,59.67
10-Apr,209,159,24,26,22.64,55.92
11-Apr,236,181,26,29,22.84,52.81
12-Apr,282,227,27,29,19.22,31.38
13-Apr,278,218,27,33,14.68,29.07
14-Apr,322,257,28,37,13.61,27.5
15-Apr,377,307,29,41,11.82,14.76
16-Apr,442,367,29,46,13.71,12.04
17-Apr,531,442,42,47,14.47,8.95
18-Apr,559,455,55,49,13.36,7.76
19-Apr,586,481,55,50,11.28,8.2
20-Apr,734,606,78,50,15.09,6.23
21-Apr,708,569,87,52,12.32,5.07
22-Apr,772,594,122,56,11.18,4.62
23-Apr,876,686,130,60,10.64,3.9
24-Apr,980,770,146,64,9.46,4.54
25-Apr,1060,836,156,68,9.88,4.98
26-Apr,1139,902,165,72,10.24,5.38
27-Apr,1217,966,176,75,7.61,5.97
28-Apr,1339,1057,203,79,9.55,6.16
29-Apr,1429,1108,239,82,9.22,5.61
30-Apr,1518,1159,274,85,8.19,5.11
01-May,1618,1203,326,90,7.43,4.91
02-May,1718,1246,378,94,7.16,4.74
03-May,1817,1283,433,101,6.91,4.96
04-May,1878,1288,483,107,6.41,5.21
05-May,1943,1297,535,111,5.47,4.99
06-May,2029,1324,587,118,5.15,5.34
07-May,2146,1350,671,125,5.08,5.67
08-May,2245,1377,732,136,4.8,6.17
09-May,2380,1414,826,140,4.77,5.87
10-May,2482,1318,1020,144,4.56,5.22
11-May,2573,1335,1089,149,4.6,4.86
12-May,2737,1372,1209,156,5.02,5
13-May,2824,1284,1377,163,4.84,4.74
14-May,2987,1332,1486,169,4.84,4.42
15-May,3093,1289,1630,174,4.69,3.59
16-May,3295,1412,1698,185,4.77,4.07
17-May,3496,1551,1751,194,5.02,4.35
18-May,3598,1599,1800,199,4.92,4.23
19-May,3747,1630,1910,207,4.6,4.13
20-May,3899,1655,2023,221,4.72,4.46
21-May,4107,1698,2182,227,4.66,4.32
22-May,4398,1786,2371,241,5.17,4.78
23-May,4603,1858,2497,248,4.9,4.29
24-May,4782,1904,2623,255,4.58,4
25-May,5181,2168,2749,264,5.36,4.13
26-May,5427,2279,2875,273,5.45,4.04
27-May,5533,2191,3059,283,5.15,3.6
28-May,5851,2294,3264,293,5.2,3.72
29-May,6096,2343,3450,303,4.79,3.33
30-May,6201,2248,3644,309,4.37,3.19
31-May,6472,2376,3782,314,4.44,3.02
01-Jun,6529,2259,3950,320,3.37,2.79
02-Jun,6795,2331,4119,345,3.28,3.42
03-Jun,7089,2389,4348,352,3.62,3.19
04-Jun,7265,2399,4505,361,3.15,3.05
05-Jun,7447,2402,4675,370,2.91,2.91
06-Jun,7722,2413,4934,375,3.19,2.82
07-Jun,7881,2484,5019,378,2.86,2.71
08-Jun,8062,2486,5185,391,3.06,2.93
09-Jun,8205,2498,5304,403,2.73,2.25
10-Jun,8509,2528,5575,406,2.65,2.06
11-Jun,8777,2582,5782,413,2.74,1.95
12-Jun,9082,2733,5924,425,2.88,2
13-Jun,9336,2810,6087,439,2.75,2.28
14-Jun,9656,2998,6210,448,2.95,2.46
15-Jun,9890,2986,6446,458,2.96,2.29
16-Jun,10183,3118,6596,469,3.13,2.19
17-Jun,10643,3449,6713,481,3.25,2.45
18-Jun,11115,3722,6906,487,3.43,2.38
19-Jun,11465,3909,7063,493,3.39,2.15
20-Jun,11854,4086,7264,504,3.47,1.99
21-Jun,12474,4529,7435,510,3.73,1.87
22-Jun,12686,4496,7672,518,3.63,1.78
23-Jun,13153,4680,7945,528,3.73,1.71
24-Jun,13654,5009,8100,545,3.63,1.8
25-Jun,14185,5325,8302,558,3.55,1.97
26-Jun,14780,5575,8633,572,3.7,2.15
27-Jun,15602,5892,9119,591,4.01,2.3
28-Jun,16125,6065,9447,613,3.74,2.67
29-Jun,16742,6195,9929,618,4.04,2.56
30-Jun,17228,6134,10451,643,3.93,2.86
01-Jul,18105,6403,11040,662,4.12,2.82
02-Jul,19042,6695,11671,676,4.3,2.78
03-Jul,19849,6874,12290,685,4.31,2.62
04-Jul,20668,7276,12689,703,4.1,2.52
05-Jul,21520,7696,13109,715,4.21,2.23
06-Jul,22381,7912,13739,730,4.24,2.41
07-Jul,23021,7859,14411,751,4.23,2.24
08-Jul,24168,8400,14998,770,4.21,2.18
09-Jul,25174,8809,15579,786,4.07,2.18
10-Jul,26077,9089,16188,800,3.98,2.24
11-Jul,26904,9092,16996,816,3.84,2.15
12-Jul,27525,9203,17482,840,3.58,2.33
13-Jul,28375,9430,18096,849,3.45,2.18
14-Jul,29107,9409,18824,874,3.41,2.19
15-Jul,30523,10064,19570,889,3.39,2.08
16-Jul,31884,10644,20334,906,3.44,2.05
17-Jul,34040,12016,21107,917,3.89,1.97
18-Jul,35878,13062,21881,935,4.21,1.97
19-Jul,37386,13799,22611,976,4.48,2.17
20-Jul,39203,14757,23441,1005,4.73,2.44
21-Jul,40715,15434,24246,1035,4.92,2.45
22-Jul,42466,16269,25129,1068,4.83,2.66
23-Jul,44065,17053,25908,1104,4.74,2.87
24-Jul,45544,17686,26725,1133,4.25,3.07
25-Jul,47065,18494,27418,1153,3.95,3.04
26-Jul,48057,18298,28593,1166,3.66,2.58
27-Jul,49217,18546,29489,1182,3.31,2.35
28-Jul,50430,19135,30080,1215,3.66,2.32
29-Jul,51738,17861,32623,1254,3.66,2.32
30-Jul,53457,18235,33938,1284,3.66,2.18
31-Jul,54255,17820,35123,1312,3.66,2.12
01-Aug,55761,17512,36914,1335,3.66,2.12
02-Aug,57523,18040,38117,1366,3.66,2.29
03-Aug,58304,16981,39939,1384,3.66,2.28
04-Aug,59496,16833,41251,1412,3.66,2.17
05-Aug,60597,16758,42410,1429,3.66,1.88
06-Aug,62037,16975,43606,1456,3.66,1.81
07-Aug,63286,17033,44774,1479,3.66,1.73
08-Aug,64576,16325,46735,1516,3.66,1.83
09-Aug,65966,15812,48614,1540,3.66,1.73
10-Aug,66727,15043,50113,1571,3.66,1.83
11-Aug,67651,14705,51353,1593,3.66,1.74
12-Aug,69235,14812,52802,1621,3.66,1.82
13-Aug,70326,14712,53958,1656,3.66,1.86
14-Aug,71503,14740,55100,1663,3.66,1.69
15-Aug,72576,14621,56245,1710,3.66,1.74
16-Aug,74098,14702,57657,1739,3.66,1.75
17-Aug,74933,14442,58706,1785,3.66,1.84
18-Aug,76157,14469,59874,1814,3.66,1.88
19-Aug,77368,14556,60963,1849,3.66,1.9
20-Aug,79037,14806,62349,1882,3.66,1.85
21-Aug,80593,14757,63919,1917,3.66,2.05
22-Aug,82170,14874,65346,1950,3.66,1.89
23-Aug,83395,14818,66589,1988,3.66,1.93
24-Aug,84496,14686,67777,2033,3.66,1.88
25-Aug,85700,14723,68900,2077,3.66,1.95
26-Aug,87317,14940,70269,2108,3.66,1.89
27-Aug,89090,14995,71949,2146,3.66,1.89
28-Aug,90871,15158,73527,2186,3.66,1.89
29-Aug,92839,15423,75184,2232,3.66,1.95
30-Aug,94497,15544,76686,2267,3.66,1.89
31-Aug,95373,14999,78070,2304,3.66,1.8
01-Sep,97068,15268,79489,2332,3.66,1.67
02-Sep,98695,15423,80897,2375,3.66,1.72
03-Sep,100459,15973,82085,2401,3.66,1.62
04-Sep,102076,15730,83915,2431,3.66,1.53
05-Sep,103812,15973,85371,2468,3.66,1.45
06-Sep,105905,16453,86940,2512,3.66,1.48
07-Sep,107958,16830,88579,2549,3.66,1.45
08-Sep,109838,16653,90601,2584,3.66,1.48
09-Sep,111916,16677,92614,2625,3.66,1.44
10-Sep,113832,16712,94452,2668,3.66,1.52
11-Sep,115770,17039,96025,2706,3.66,1.54
12-Sep,117679,17442,97489,2748,3.66,1.55
13-Sep,119657,17788,99076,2793,3.66,1.53
14-Sep,120757,17393,100532,2832,3.66,1.52
15-Sep,122448,17478,102095,2875,3.66,1.54
16-Sep,124568,17672,103978,2918,3.66,1.52
17-Sep,126532,17372,106197,2963,3.66,1.51
18-Sep,128423,17293,108123,3007,3.66,1.52
19-Sep,130081,17664,109371,3046,3.66,1.48
20-Sep,131781,17781,110916,3084,3.66,1.43
21-Sep,132665,17372,112172,3121,3.66,1.4
22-Sep,134029,17076,113786,3167,3.66,1.39
23-Sep,135818,17307,115298,3213,3.66,1.39
24-Sep,137330,17449,116626,3255,3.66,1.35
25-Sep,138951,17773,117828,3296,3.66,1.32
26-Sep,140588,17679,119577,3332,3.66,1.29
27-Sep,142136,17587,121176,3373,3.66,1.29