Date,Active_status_quo,parameter,Bed_capacity,Beds_occupied,Active_best_case,Beds_occupied_best_case,Active_worst_case,Beds_occupied_worst_case
17/04/20,501,O2_beds,1223,289,501,289,501,289
24/04/20,980,O2_beds,1230,156,980,156,980,156
21/05/20,1698,O2_beds,2122,255,1698,255,1698,255
26/05/20,2279,O2_beds,2122,350,2279,350,2279,350
28/05/20,2294,O2_beds,2030,356,2294,356,2294,356
08/06/20,2486,O2_beds,2513,379,2486,379,2486,379
12/06/20,2582,O2_beds,2513,531,2582,531,2582,531
02/07/20,6695,O2_beds,2513,1038,6695,1038,6695,1038
09/07/20,8809,O2_beds,2513,1075,8809,1075,8809,1075
12/07/20,9203,O2_beds,2513,1163,9203,1163,9203,1163
17/07/20,10644,O2_beds,1861,1875,10644,,10644,
06/08/20,16975,O2_beds,2688,2923,16975,,16975,
17/08/20,14442,O2_beds,2999,2444,14442,,14442,
05/09/20,15730,O2_beds,3324,3236,15730,,15730,
20/09/20,17781,O2_beds,3648,3508,17781,,17781,
01/10/20,16369,O2_beds,3969,3179,16369,,16369,
11/10/20,12898,O2_beds,4062,1403,12898,,12898,
31/10/20,10506,O2_beds,,,8086,,15234,
17/04/20,501,ICU_beds,146,10,501,10,501,10
24/04/20,980,ICU_beds,151,41,980,41,980,41
21/05/20,1698,ICU_beds,271,119,1698,119,1698,119
26/05/20,2279,ICU_beds,271,132,2279,132,2279,132
28/05/20,2294,ICU_beds,325,101,2294,101,2294,101
08/06/20,2486,ICU_beds,580,161,2486,161,2486,161
12/06/20,2582,ICU_beds,580,183,2582,183,2582,183
02/07/20,6695,ICU_beds,580,288,6695,288,6695,288
09/07/20,8809,ICU_beds,580,327,8809,327,8809,327
12/07/20,9203,ICU_beds,580,315,9203,315,9203,315
17/07/20,10644,ICU_beds,400,456,10644,,10644,
06/08/20,16975,ICU_beds,278,249,16975,,16975,
17/08/20,14442,ICU_beds,332,301,14442,,14442,
05/09/20,15730,ICU_beds,399,530,15730,,15730,
20/09/20,17781,ICU_beds,465,467,17781,,17781,
01/10/20,16369,ICU_beds,475,405,16369,,16369,
11/10/20,12898,ICU_beds,579,175,12898,,12898,
31/10/20,10506,ICU_beds,,,8086,,15234,
17/04/20,501,Ventilator_beds,NA,NA,501,NA,501,NA
24/04/20,980,Ventilator_beds,NA,NA,980,NA,980,NA
21/05/20,1698,Ventilator_beds,137,44,1698,44,1698,44
26/05/20,2279,Ventilator_beds,137,44,2279,44,2279,44
28/05/20,2294,Ventilator_beds,210,49,2294,49,2294,49
08/06/20,2486,Ventilator_beds,288,43,2486,43,2486,43
12/06/20,2582,Ventilator_beds,288,84,2582,84,2582,84
02/07/20,6695,Ventilator_beds,288,56,6695,56,6695,56
09/07/20,8809,Ventilator_beds,288,75,8809,75,8809,75
12/07/20,9203,Ventilator_beds,288,172,9203,172,9203,172
17/07/20,10644,Ventilator_beds,231,80,10644,,10644,
06/08/20,16975,Ventilator_beds,437,425,16975,,16975,
17/08/20,14442,Ventilator_beds,469,464,14442,,14442,
05/09/20,15730,Ventilator_beds,476,355,15730,,15730,
20/09/20,17781,Ventilator_beds,482,494,17781,,17781,
01/10/20,16369,Ventilator_beds,546,515,16369,,16369,
11/10/20,12898,Ventilator_beds,553,99,12898,,12898,
31/10/20,10506,Ventilator_beds,,,8086,,15234,
,,,,,,,,
,,,,,,,,